,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
0,0,6469fb83b1064f9440f700f4,https://www.foody.vn/ha-noi/domino-s-pizza-giang-vo,"Domino's Pizza - Giảng Võ ở Quận Ba Đình, Hà Nội | Foody.vn","Tầng 1, Khu Tập Thể C4, Giảng Võ, P. Giảng Võ Quận Ba Đình Hà Nội",10:00,22:00,49.000đ ,199.000,['https://images.foody.vn/res/g9/86458/prof/s576x330/image-080dc6db-221208141900.jpeg'],['6.7'],['7.5'],['7.6'],['7.2'],['7.9'],20,151,48,8,7.4,Domino's Pizza - Giả
1,1,6469fb83b1064f9440f700f5,https://www.foody.vn/ha-noi/cutisun-bo-bit-tet,"Cutisun - Bò Bít Tết ở Quận Tây Hồ, Hà Nội | Foody.vn","3 Ngõ 120 Hoàng Hoa Thám, P. Thụy Khuê Quận Tây Hồ Hà Nội",10:00,21:00,50.000đ ,165.000,['https://images.foody.vn/res/g5/44367/prof/s576x330/foody-mobile-cutisun-jpg-902-635757753846837030.jpg'],['6.8'],['7.3'],['7.5'],['7.1'],['7.7'],7,214,34,17,7.3,Cutisun - Bò Bít Tết
2,2,6469fb83b1064f9440f700f6,https://www.foody.vn/ha-noi/kfc-yen-phu,"Gà Rán KFC - Yên Phụ ở Quận Tây Hồ, Hà Nội | Foody.vn","7A Yên Phụ, P. Yên Phụ Quận Tây Hồ Hà Nội",09:00,22:00,50.000đ ,110.000,['https://images.foody.vn/res/g1/6243/prof/s576x330/image-371bbbd7-220812160708.jpg'],['6.9'],['7.3'],['7.7'],['7.0'],['8.3'],1,18,3,0,7.4,Gà Rán KFC - Yên Phụ
3,3,6469fb83b1064f9440f700f7,https://www.foody.vn/ha-noi/banh-mi-co-long-nguyen-chi-thanh,"Bánh Mì Cô Long - Nguyễn Chí Thanh ở Quận Ba Đình, Hà Nội | Foody.vn",29 Nguyễn Chí Thanh Quận Ba Đình Hà Nội,07:00,22:00,20.000đ ,100.000,['https://images.foody.vn/res/g10/95927/prof/s576x330/foody-mobile-co-long-jpg-945-636263894836766905.jpg'],['7.8'],['8.3'],['9.0'],['8.3'],['9.1'],246,216,32,15,8.5,Bánh Mì Cô Long - Ng
4,4,6469fb83b1064f9440f700f8,https://www.foody.vn/ha-noi/nha-hang-nhat-ban-kirin,"Nhà hàng Nhật Bản Kirin ở Quận Đống Đa, Hà Nội | Foody.vn","51 Nguyên Hồng, P. Láng Hạ Quận Đống Đa Hà Nội",10:00,14:00 | 17:30 ,150.000đ ,330.000,['https://images.foody.vn/res/g2/17410/prof/s576x330/foody-mobile-kirin-jpg-129-636016056541884086.jpg'],['5.9'],['6.6'],['6.8'],['6.3'],['6.9'],1,10,2,3,6.5,Nhà hàng Nhật Bản Ki
6,6,6469fb83b1064f9440f700fa,https://www.foody.vn/ha-noi/tengcho-korean-bbq,"Tengcho - Korean BBQ ở Quận Hoàng Mai, Hà Nội | Foody.vn","Chung cư HH3C Linh Đàm, Linh Đường Quận Hoàng Mai Hà Nội",09:00,22:00,30.000đ ,200.000,['https://images.foody.vn/res/g31/300396/prof/s576x330/foody-mobile-tangcho-jpg-829-636173920265971602.jpg'],['4.2'],['4.6'],['5.4'],['4.6'],['6.0'],0,4,1,6,4.9,Tengcho - Korean BBQ
18,18,6469fb83b1064f9440f70106,https://www.foody.vn/ha-noi/gogi-house-huynh-thuc-khang,"Gogi House - Nướng Hàn Quốc - Huỳnh Thúc Kháng ở Quận Đống Đa, Hà Nội | Foody.vn",45 Huỳnh Thúc Kháng Quận Đống Đa Hà Nội,08:00,22:00,100.000đ ,300.000,['https://images.foody.vn/res/g26/250742/prof/s576x330/foody-mobile-15-jpg-513-636028097471185757.jpg'],['7.9'],['8.1'],['8.2'],['8.1'],['8.3'],53,38,5,11,8.1,Gogi House - Nướng H
19,19,6469fb83b1064f9440f70107,https://www.foody.vn/ha-noi/kichi-kichi-lau-bang-chuyen-vincom-center-nguyen-chi-thanh,"Kichi Kichi Lẩu Băng Chuyền - Vincom Center Nguyễn Chí Thanh ở Quận Đống Đa, Hà Nội | Foody.vn","Tầng 5, Vincom Center Nguyễn Chí Thanh, 54A Nguyễn Chí Thanh, P. Láng Thượng Quận Đống Đa Hà Nội",08:00,22:00,149.000đ ,220.000,[],['8.4'],['8.6'],['8.7'],['8.5'],['8.7'],80,26,16,4,8.6,Kichi Kichi Lẩu Băng
20,20,6469fb83b1064f9440f70108,https://www.foody.vn/ha-noi/lang-bac-cafe-yen-phu,"Lãng Bạc Cafe - Ngắm nhìn Hồ Tây từ trên cao ở Quận Tây Hồ, Hà Nội | Foody.vn",52 Yên Phụ Quận Tây Hồ Hà Nội,14:00,23:00,25.000đ ,55.000,['https://images.foody.vn/res/g1/1931/prof/s576x330/foody-mobile-lb-jpg-990-635763553593787035.jpg'],['5.9'],['6.1'],['7.1'],['6.1'],['7.6'],0,7,5,2,6.6,Lãng Bạc Cafe - Ngắm
21,21,6469fb83b1064f9440f70109,https://www.foody.vn/ha-noi/co-minh-nem-lui-banh-xeo-nam-bo,"Cô Mình - Nem Lụi & Bánh Xèo Nam Bộ ở Quận Tây Hồ, Hà Nội | Foody.vn","198 Yên Phụ, P. Yên Phụ Quận Tây Hồ Hà Nội",09:00,19:00,10.000đ ,42.000,['https://images.foody.vn/res/g32/314572/prof/s576x330/foody-mobile-bs-jpg-271-636181027206849370.jpg'],['5.3'],['5.9'],['6.2'],['5.3'],['6.3'],1,6,1,4,5.8,Cô Mình - Nem Lụi & 
23,23,6469fb83b1064f9440f7010b,https://www.foody.vn/ha-noi/sumo-yakiniku-hoang-quoc-viet,"Sumo Yakiniku Hoàng Quốc Việt ở Quận Cầu Giấy, Hà Nội | Foody.vn","134 Hoàng Quốc Việt, Nghĩa Tân Quận Cầu Giấy Hà Nội",09:00,20:00,200.000đ ,330.000,['https://images.foody.vn/res/g1/594/prof/s576x330/foody-upload-api-foody-mobile-2-200910145722.jpg'],['7.2'],['7.8'],['8.1'],['7.8'],['8.1'],61,78,23,14,7.8,Sumo Yakiniku Hoàng 
24,24,6469fb83b1064f9440f7010c,https://www.foody.vn/ha-noi/bong-lan-trung-muoi-shop-online-tay-son,"Ngọc Pink - Bông Lan Trứng Muối Online ở Quận Đống Đa, Hà Nội | Foody.vn",80 Ngõ 136 Tây Sơn Quận Đống Đa Hà Nội,07:30,21:30,10.000đ ,80.000,['https://images.foody.vn/res/g26/258183/prof/s576x330/file_restaurant_photo_jfl2_16590-bd50fb77-220729104213.jpg'],['6.7'],['7.1'],['7.3'],['7.1'],['7.5'],49,98,42,36,7.2,Ngọc Pink - Bông Lan
25,25,6469fb83b1064f9440f7010d,https://www.foody.vn/ha-noi/pizza-pompeii-s-pizza-nuong-cui,"Pizza Pompeii's - Pizza Nướng Củi ở Quận Hoàng Mai, Hà Nội | Foody.vn","P10, SH04, Park Hill, KĐT Times City, 458 Minh Khai, P. Mai Động Quận Hoàng Mai Hà Nội",09:30,20:30,45.000đ ,500.000,['https://images.foody.vn/res/g71/706826/prof/s576x330/foody-mobile-pompeii-jpg.jpg'],['6.4'],['6.6'],['7.1'],['6.5'],['7.9'],2,3,4,1,6.9,Pizza Pompeii's - Pi
26,26,6469fb83b1064f9440f7010e,https://www.foody.vn/ha-noi/che-ngon-hien-dai-shop-online,"Chè Ngon Hiện Đại - Shop Online ở Quận Hoàng Mai, Hà Nội | Foody.vn","5 Ngách 7 Ngõ 204 Kim Giang, P. Đại Kim Quận Hoàng Mai Hà Nội",09:00,23:59,30.000đ ,45.000,['https://images.foody.vn/res/g105/1041600/prof/s576x330/foody-upload-api-foody-mobile-ca-89eceac1-230508140402.jpg'],['7.5'],['7.5'],['7.5'],['7.5'],['7.5'],1,0,1,0,7.5,Chè Ngon Hiện Đại - 
27,27,6469fb83b1064f9440f7010f,https://www.foody.vn/ha-noi/chao-suon-sun-doi-can,"Cúc - Cháo Sườn Sụn - Đội Cấn ở Quận Ba Đình, Hà Nội | Foody.vn",142D Đội Cấn Quận Ba Đình Hà Nội,10:00,22:00,25.000đ ,50.000,['https://images.foody.vn/res/g13/122606/prof/s576x330/image-b97c4ac1-200822063502.jpeg'],['6.0'],['6.6'],['6.6'],['6.5'],['7.2'],6,42,26,13,6.6,Cúc - Cháo Sườn Sụn 
28,28,6469fb83b1064f9440f70110,https://www.foody.vn/ha-noi/banh-mi-hoa-cuc-dunmade-shop-online,"Bánh Mì Hoa Cúc Dunmade - Shop Online ở Quận Hoàng Mai, Hà Nội | Foody.vn","69 Ngõ 337 Định Công, P. Định Công Quận Hoàng Mai Hà Nội",07:00,22:00,65.000đ ,200.000,['https://images.foody.vn/res/g26/257801/prof/s576x330/foody-mobile-13694117_10204973340-523-636044395260362328.jpg'],['7.7'],['8.4'],['8.6'],['7.8'],['8.6'],4,5,0,1,8.2,Bánh Mì Hoa Cúc Dunm
